# id	name	title	county
1263	Jenny Fields	Property Appraiser, Martin County	Martin
1264	Ruth Pietruszewski	Tax Collector, Martin County	Martin
1266	Brandon Patty	Clerk of Circuit Court, St. Johns County	St. Johns
1267	Eddie Creamer	Property Appraiser, St. Johns County	St. Johns
1273	Kaiti Lenhart	Supervisor of Elections, Flagler County	Flagler
1274	Gwen Marshall	Clerk of Circuit Court, Leon County	Leon
1275	Akin Akinyemi	Property Appraiser, Leon County	Leon
1276	Doris Maloy	Tax Collector, Leon County	Leon
1278	Tara Green	Clerk of Circuit Court, Clay County	Clay
1279	Roger Suggs	Property Appraiser, Clay County	Clay
1280	Diane Hutchings	Tax Collector, Clay County	Clay
1281	Chris Chambless	Supervisor of Elections, Clay County	Clay
1282	John Crawford	Clerk of Circuit Court, Nassau County	Nassau
1283	Michael Hickox	Property Appraiser, Nassau County	Nassau
1284	John Drew	Tax Collector, Nassau County	Nassau
1286	Bob Germaine	Clerk of Circuit Court, Highlands County	Highlands
1287	Ray McIntyre	Property Appraiser, Highlands County	Highlands
1288	Eric Zwayer	Tax Collector, Highlands County	Highlands
1289	Penny Ogg	Supervisor of Elections, Highlands County	Highlands
1291	Sandra Haas	Property Appraiser, Hernando County	Hernando
1292	John Druzbick	Tax Collector, Hernando County	Hernando
1294	Angela Vick	Clerk of Circuit Court, Citrus County	Citrus
1295	Cregg Dalton	Property Appraiser, Citrus County	Citrus
1296	Janice Warren	Tax Collector, Citrus County	Citrus
1301	William Keen Jr.	Supervisor of Elections, Sumter County	Sumter
1305	Tappie Villane	Supervisor of Elections, Santa Rosa County	Santa Rosa
1306	JD Peacock	Clerk of Circuit Court, Okaloosa County	Okaloosa
1308	Ben Anderson	Tax Collector, Okaloosa County	Okaloosa
1310	Bill Kinsaul	Clerk of Circuit Court, Bay County	Bay
1311	Dan Sowell	Property Appraiser, Bay County	Bay
1312	Chuck Perdue	Tax Collector, Bay County	Bay
1314	P. DeWitt Cason	Clerk of Circuit Court, Columbia County	Columbia
1316	Ronnie Broughton	Tax Collector, Columbia County	Columbia
1318	Kevin Madok	Clerk of Circuit Court, Monroe County	Monroe
1320	Danise Henriquez	Tax Collector, Monroe County	Monroe
1322	Alex Alford	Clerk of Circuit Court, Walton County	Walton
1324	Rhonda Skipper	Tax Collector, Walton County	Walton
1325	Bobby Beasley	Supervisor of Elections, Walton County	Walton
1327	Rick Hagan	Property Appraiser, Putnam County	Putnam
1329	Charles Overturf	Supervisor of Elections, Putnam County	Putnam
1330	Clay Rooks	Clerk of Circuit Court, Jackson County	Jackson
1331	Pete Andrews	Property Appraiser, Jackson County	Jackson
1334	Jerald Bryant	Clerk of Circuit Court, Okeechobee County	Okeechobee
1335	Walt Chancey	Property Appraiser, Okeechobee County	Okeechobee
1336	Celeste Watford	Tax Collector, Okeechobee County	Okeechobee
1337	Melissa Arnold	Supervisor of Elections, Okeechobee County	Okeechobee
1339	Lorie Ayers	Property Appraiser, DeSoto County	DeSoto
1341	Mark Negley	Supervisor of Elections, DeSoto County	DeSoto
1345	Jeff Ussery	Supervisor of Elections, Hardee County	Hardee
1346	Barbara Butler	Clerk of Circuit Court, Hendry County	Hendry
1347	Phillip Pelletier	Property Appraiser, Hendry County	Hendry
1348	Peggy Hampton	Tax Collector, Hendry County	Hendry
1351	Timothy Sweat	Property Appraiser, Baker County	Baker
1352	Gene Harvey	Tax Collector, Baker County	Baker
1354	Ray Norman	Clerk of Circuit Court, Bradford County	Bradford
1356	Teresa Phillips	Tax Collector, Bradford County	Bradford
1358	Nicholas Thomas	Clerk of Circuit Court, Gadsden County	Gadsden
1359	Clyde Collins	Property Appraiser, Gadsden County	Gadsden
1360	Dale Summerford	Tax Collector, Gadsden County	Gadsden
1362	Annie Mae Murphy	Clerk of Circuit Court, Taylor County	Taylor
1364	Mark Wiggins	Tax Collector, Taylor County	Taylor
1366	Brent Whitaker	Clerk of Circuit Court, Suwannee County	Suwannee
1368	Sharon Jordan	Tax Collector, Suwannee County	Suwannee
1371	Ed Brimner	Property Appraiser, Wakulla County	Wakulla
1372	Lisa Craze	Tax Collector, Wakulla County	Wakulla
1373	Joseph Morgan	Supervisor of Elections, Wakulla County	Wakulla
1375	Greg Payne	Property Appraiser, Holmes County	Holmes
1378	Lora Bell	Clerk of Circuit Court, Washington County	Washington
1379	Gil Carter	Property Appraiser, Washington County	Washington
1380	Faye Worthington	Tax Collector, Washington County	Washington
1381	Carol Finch Rudd	Supervisor of Elections, Washington County	Washington
1382	Kirk Reams	Clerk of Circuit Court, Jefferson County	Jefferson
1383	Angela Gray	Property Appraiser, Jefferson County	Jefferson
1384	Lois Hunter	Tax Collector, Jefferson County	Jefferson
1387	Leigh Barfield	Property Appraiser, Madison County	Jefferson
1390	Ruth Attaway	Clerk of Circuit Court, Calhoun County	Calhoun
1391	Joe Wood	Property Appraiser, Calhoun County	Calhoun
1392	Jim Strickland	Tax Collector, Calhoun County	Calhoun
1393	Margie Laramore	Supervisor of Elections, Calhoun County	Calhoun
1394	Dana Johnson	Clerk of Circuit Court, Dixie County	Dixie
1395	Larry Sapp	Property Appraiser, Dixie County	Dixie
1398	Marcia Johnson	Clerk of Circuit Court, Franklin County	Franklin
1399	Rhonda Skipper	Property Appraiser, Franklin County	Franklin
1403	Ed Wolgast	Property Appraiser, Gilchrist County	Gilchrist
1405	Connie Sanchez	Supervisor of Elections, Gilchrist County	Gilchrist
1407	Lorie Ward	Property Appraiser, Glades County	Glades
1410	Rebecca Norris	Clerk of Circuit Court, Gulf County	Gulf
1411	Mitch Burke	Property Appraiser, Gulf County	Gulf
1412	Shirley Jenkins	Tax Collector, Gulf County	Gulf
1413	John Hanlon	Supervisor of Elections, Gulf County	Gulf
1414	Ricky Lyons	Clerk of Circuit Court, Lafayette County	Lafayette
1415	Bobby Hatch	Property Appraiser, Lafayette County	Lafayette
1417	Lavan Hawkins	Supervisor of Elections, Lafayette County	Lafayette
1418	Daniel Stanley	Clerk of Circuit Court, Liberty County	Liberty
1419	Patricia Whitfield	Property Appraiser, Liberty County	Liberty
1420	Marie Goodman	Tax Collector, Liberty County	Liberty
1423	Greg Godwin	Property Appraiser, Hamilton County	Columbia
1426	Danny Shipp	Clerk of Circuit Court, Levy County	Alachua
1427	Osborn Barker	Property Appraiser, Levy County	Alachua
1428	Linda Fugate	Tax Collector, Levy County	Alachua
1431	Virginia Barton	Property Appraiser, Union County	Columbia
1433	Deborah Osborne	Supervisor of Elections, Union County	Columbia
1434	Raemi Eagle-Glenn	County Commissioner, District 5 (Chair)	Alachua
1436	Anna Prizzia	County Commissioner, District 3	Alachua
1437	Marihelen Wheeler	County Commissioner, District 2	Alachua
1438	Mary Alford	County Commissioner, District 1	Alachua
1439	Harold McCartney	City Council Member, At-Large Group 5	Duval
1440	Nick Howland	City Council Member, At-Large Group 4	Duval
1441	Matt Carlucci	City Council Member, At-Large Group 3	Duval
1442	Sam Newby	City Council Member, At-Large Group 2	Duval
1443	Michael Boylan	City Council Member, At-Large Group 1	Duval
1444	Kevin Carrico	City Council Vice President	Duval
1445	Ron Salem	City Council President	Duval
1453	Jesse Davis	School Board Member, District 1	Baker
1454	Charlie Burnett	School Board Member, District 2	Baker
1455	Artie Burnett	School Board Member, District 3	Baker
1457	Brad Griffis	School Board Member, District 5	Baker
1458	Stacy Creighton	School Board Member, District 1	Bradford
1459	Sheila Gallagher	School Board Member, District 2	Bradford
1461	Cheryl Canova	School Board Member, District 4	Bradford
1462	Daniel Riddick	School Board Member, District 5	Bradford
1464	Tim Smith	School Board Member, District 2	Calhoun
1465	Willie Lewis	School Board Member, District 3	Calhoun
1466	Clifton Edenfield	School Board Member, District 4	Calhoun
1468	Michael Cosentino	School Board Member, District 1	DeSoto
1469	Carlos Kelly	School Board Member, District 2	DeSoto
1471	Emily Morrison	School Board Member, District 4	DeSoto
1473	Eric Hatcher	School Board Member, District 1	Dixie
1474	Wayne Feagle	School Board Member, District 2	Dixie
1476	Rebecca Sapp	School Board Member, District 4	Dixie
1477	Mitch Hardee	School Board Member, District 5	Dixie
1478	Pam Shiver	School Board Member, District 1	Franklin
1479	Carl Whaley	School Board Member, District 2	Franklin
1480	Fonda Davis	School Board Member, District 3	Franklin
1481	Stacy Kirvin	School Board Member, District 4	Franklin
1483	Steve Scott	School Board Member, District 1	Gadsden
1484	Tyrone Smith	School Board Member, District 2	Gadsden
1485	Isaac Simmons	School Board Member, District 3	Gadsden
1486	Charlie Frost	School Board Member, District 4	Gadsden
1487	Audrey Lewis	School Board Member, District 5	Gadsden
1488	Kyle Pedersen	School Board Member, District 1	Gilchrist
1490	Marion Poitevint	School Board Member, District 3	Gilchrist
1491	Michael Martin	School Board Member, District 4	Gilchrist
1492	Devin Strickland	School Board Member, District 5	Gilchrist
1493	Laura Akin	School Board Member, District 1	Glades
1495	Sandra Drury	School Board Member, District 3	Glades
1496	Mike McLeod	School Board Member, District 4	Glades
1497	Rachel Denton	School Board Member, District 5	Glades
1498	Billy Traylor	School Board Member, District 1	Gulf
1499	Brooke Wooten	School Board Member, District 2	Gulf
1501	Danny Little	School Board Member, District 4	Gulf
1502	Brett Banks	School Board Member, District 5	Gulf
1504	Garry McWhorter	School Board Member, District 2	Hardee
1505	Thomas Trevino	School Board Member, District 3	Hardee
1506	Mildred Smith	School Board Member, District 4	Hardee
1507	Cathy Towns	School Board Member, District 5	Hardee
1508	Stephanie Daniels	School Board Member, District 1	Hendry
1509	Victoria Washington	School Board Member, District 2	Hendry
1510	John Perry	School Board Member, District 3	Hendry
1511	Jon Woosley	School Board Member, District 4	Hendry
1512	Emily Puente	School Board Member, District 5	Hendry
1513	Sid Johnson	School Board Member, District 1	Holmes
1514	Alan Justice	School Board Member, District 2	Holmes
1515	Debra Lewis	School Board Member, District 3	Holmes
1517	Tommy Rone	School Board Member, District 5	Holmes
1518	Chris Johnson	School Board Member, District 1	Jackson
1519	Charlotte Gardner	School Board Member, District 2	Jackson
1520	Mack Howard	School Board Member, District 3	Jackson
1521	Stacey Goodson	School Board Member, District 4	Jackson
1522	Diane Basford	School Board Member, District 5	Jackson
1523	Larry Halsey	School Board Member, District 1	Jefferson
1524	Sandra Saunders	School Board Member, District 2	Jefferson
1525	Shirley Washington	School Board Member, District 3	Jefferson
1526	Larry Branan	School Board Member, District 4	Jefferson
1527	Charles Boland	School Board Member, District 5	Jefferson
1528	Jason Walker	School Board Member, District 1	Lafayette
1530	Steve Land	School Board Member, District 3	Lafayette
1531	J.W. Morris	School Board Member, District 4	Lafayette
1532	Jill Barrington	School Board Member, District 5	Lafayette
1533	Kyle Peddie	School Board Member, District 1	Liberty
1534	Todd McDaniel	School Board Member, District 2	Liberty
1535	Darrel Hayes	School Board Member, District 3	Liberty
1536	Jim Jeter	School Board Member, District 4	Liberty
1537	Tina Tharpe	School Board Member, District 5	Liberty
1538	VeEtta Hagan	School Board Member, District 1	Jefferson
1539	Karen Pickles	School Board Member, District 2	Jefferson
1540	Susie Williamson	School Board Member, District 3	Jefferson
1541	Bart Alford	School Board Member, District 4	Jefferson
1542	Kenny Hall	School Board Member, District 5	Jefferson
1544	Jill Holcomb	School Board Member, District 2	Okeechobee
1545	Gary Ritter	School Board Member, District 3	Okeechobee
1546	Malissa Morgan	School Board Member, District 4	Okeechobee
1547	Melisa Jahner	School Board Member, District 5	Okeechobee
1548	Tim Alcorn	School Board Member, District 1	Suwannee
1550	Catherine Cason	School Board Member, District 3	Suwannee
1551	Jerry Taylor	School Board Member, District 4	Suwannee
1552	Ronald White	School Board Member, District 5	Suwannee
1553	Deidra Zorn	School Board Member, District 1	Taylor
1554	Sandra Gandy	School Board Member, District 2	Taylor
1555	Jeannie Mathis	School Board Member, District 3	Taylor
1557	Kenny Murphy	School Board Member, District 5	Taylor
1558	Joann Daniels	School Board Member, District 1	Wakulla
1559	Josh Brown	School Board Member, District 2	Wakulla
1560	Laura Lawhon	School Board Member, District 3	Wakulla
1561	Greg Thomas	School Board Member, District 4	Wakulla
1562	Cale Langston	School Board Member, District 5	Wakulla
1564	Susan Roberts	School Board Member, District 2	Washington
1565	Vann Brock	School Board Member, District 3	Washington
1566	Brad Steverson	School Board Member, District 4	Washington
1568	Sammy McCoy	School Board Member, District 1	Columbia
1569	Gary Godwin	School Board Member, District 2	Columbia
1570	Thomas Moffses	School Board Member, District 3	Columbia
1571	Johnny Bullard	School Board Member, District 4	Columbia
1573	Stacy Scott	Public Defender, 8th Circuit (Alachua/Baker/Bradford/Gilchrist/Levy/Union)	Alachua
1574	Brandon Perkins	Public Defender, 14th Circuit (Bay/Calhoun/Gulf/Holmes/Jackson/Washington)	Bay
1575	Blaise Trettis	Public Defender, 18th Circuit (Brevard/Seminole)	Brevard
1576	Gordon Weekes	Public Defender, 17th Circuit (Broward)	Broward
1577	Blair Payne	Public Defender, 3rd Circuit (Columbia/Dixie/Hamilton/Lafayette/Madison/Suwannee/Taylor)	Columbia
1578	Charlie Cofer	Public Defender, 4th Circuit (Duval/Clay/Nassau)	Duval
1580	Julianne Holt	Public Defender, 13th Circuit (Hillsborough)	Hillsborough
1581	Diamond Litty	Public Defender, 19th Circuit (Indian River/Martin/Okeechobee/St. Lucie)	Indian River
1583	Jessica Yeary	Public Defender, 2nd Circuit (Leon/Gadsden/Jefferson/Wakulla/Liberty/Franklin)	Leon
1585	Carlos Martinez	Public Defender, 11th Circuit (Miami-Dade)	Miami-Dade
1588	Carey Haughwout	Public Defender, 15th Circuit (Palm Beach)	Palm Beach
1590	Rex Dimmig	Public Defender, 10th Circuit (Polk/Hardee/Highlands)	Polk
1591	Larry Eger	Public Defender, 12th Circuit (Sarasota/Manatee/DeSoto)	Sarasota
1606	Gloria Walker	Chief Judge, 8th Judicial Circuit	Alachua
1610	Andrew Decker	Chief Judge, 3rd Judicial Circuit	Columbia
1611	Mark Borello	Chief Judge, 4th Judicial Circuit	Duval
1612	John Simon	Chief Judge, 1st Judicial Circuit	Escambia
1618	Nushin Sayfie	Chief Judge, 11th Judicial Circuit	Miami-Dade
1619	Mark Jones	Chief Judge, 16th Judicial Circuit	Monroe
1622	Michael Andrews	Chief Judge, 6th Judicial Circuit	Pinellas
1623	Donald Jacobsen	Chief Judge, 10th Judicial Circuit	Polk
1624	Charles Roberts	Chief Judge, 12th Judicial Circuit	Sarasota
1626	Tom Keen	City Commissioner, District 1, Orlando	Orange
1633	Brandi Gabbard	City Council Member, District 2, St. Petersburg	Pinellas
1634	Ed Montanari	City Council Member, District 3, St. Petersburg	Pinellas
1644	Christine King	City Commissioner, District 5, Miami	Miami-Dade
1646	Jeremy Matlow	City Commissioner, Seat 2, Tallahassee	Leon
1647	Jack Porter	City Commissioner, Seat 3, Tallahassee	Leon
1649	John Dailey	Mayor, City of Tallahassee	Leon
1650	Bill Steinke	City Council Member, District 1, Cape Coral	Lee
1651	Dan Sheppard	City Council Member, District 2, Cape Coral	Lee
1653	Patty Cummings	City Council Member, District 4, Cape Coral	Lee
1655	Keith Long	City Council Member, District 6, Cape Coral	Lee
1656	John Gunter	Mayor, City of Cape Coral	Lee
1658	Jesus Tundidor	City Council President, Hialeah	Miami-Dade
1659	Vivian Casals-Munoz	City Council Member, Hialeah	Miami-Dade
1661	Teniadé Broughton	City Council Member, District 1, Pensacola	Escambia
1662	Sherri Myers	City Council Member, District 2, Pensacola	Escambia
1664	Jared Moore	City Council Member, District 4, Pensacola	Escambia
1665	Allison Patton	City Council Member, District 5, Pensacola	Escambia
1666	Ann Hill	City Council Member, District 6, Pensacola	Escambia
1667	D.C. Reeves	Mayor, City of Pensacola	Escambia
1669	Matt Howland	City Commissioner, At-Large 1, Gainesville	Alachua
1671	Shannon Martin	Mayor, City of Port St. Lucie	St. Lucie
1672	Jolien Caraballo	Vice Mayor, City of Port St. Lucie	St. Lucie
1674	Stephanie Madden	City Commissioner, Lakeland	Polk
1676	Janie Ruddy	School Board Member, District 2	Flagler
1677	Lauren Ramirez	School Board Member, District 3	Flagler
1678	Christy Chong	School Board Chair, District 4	Flagler
1679	Will Furry	School Board Member, District 5	Flagler
1681	Ken Amaro	City Council Member, District 1	Duval
1682	Mike Gay	City Council Member, District 2	Duval
1687	Jimmy Peluso	City Council Member, District 7	Duval
1688	Reggie Gaffney Jr.	City Council Member, District 8	Duval
1689	Tyrona Clark-Murray	City Council Member, District 9	Duval
1690	Ju'Coby Pittman	City Council Member, District 10	Duval
1691	Raul Arias Jr.	City Council Member, District 11	Duval
1693	Rory Diamond	City Council Member, District 13	Duval
1694	Rahman Johnson	City Council Member, District 14	Duval
1695	Terrance Freeman	City Council Member, At-Large Group 1	Duval
1699	Chris Miller	City Council Member, At-Large Group 5	Duval
1711	Gwendolyn Henderson	Tampa City Council, District 5	Hillsborough
1724	Mike Harting	St. Petersburg City Council, District 3	Pinellas
1739	Dianne Williams-Cox	Tallahassee City Commissioner, Seat 4	Leon
1743	Anthony Bonna	Port St. Lucie City Council Member	St. Lucie
1744	Stephanie Morgan	Port St. Lucie City Council Member	St. Lucie
1745	David Poitier	Port St. Lucie City Council Member	St. Lucie
1748	Tom Kilraine	Cape Coral City Council, District 2	Lee
1750	Dan Kaduk	Cape Coral City Council, District 4	Lee
1751	Tim Nelson	Cape Coral City Council, District 5	Lee
1753	Alyssa Lehmann	Cape Coral City Council, District 7	Lee
1757	Maria Rodriguez	Pembroke Pines Commissioner, District 3	Broward
1758	Michael Hernandez	Pembroke Pines Vice Mayor, District 4	Broward
1763	Bruce Rector	Mayor of Clearwater	Pinellas
1766	Rob Medina	Mayor of Palm Bay	Brevard
1770	Santiago Avila	Mayor of Deltona	Volusia
1774	Paul Anderson	Mayor of Melbourne	Brevard
1775	Todd Drosky	Mayor of Deerfield Beach	Broward
1776	Rodney Harris	Mayor of Miami Gardens	Miami-Dade
1779	Rhonda A. Anderson	Mayor of Coral Gables	Miami-Dade
1782	Mike Amundsen	Mayor of Ocala	Marion
1783	Kevin Anderson	Mayor of Fort Myers	Lee
1784	Shelly Petrolia	Mayor of Delray Beach	Palm Beach
1785	Jackie Espinosa	Mayor of Kissimmee	Osceola
1787	Trinette Frazier	Mayor of Boynton Beach	Palm Beach
1788	Caryl Shuham	Hollywood Commissioner, District 1	Broward
1791	Adam Gruber	Hollywood Commissioner, District 4	Broward
1792	Kevin Biederman	Hollywood Commissioner, District 5	Broward
1794	Cathleen Ward	West Palm Beach Commissioner, District 1	Palm Beach
1795	Shalonda Warren	West Palm Beach Commission President, District 2	Palm Beach
1796	Christy Fox	West Palm Beach Commissioner, District 3	Palm Beach
1797	Joseph Peduzzi	West Palm Beach Commissioner, District 4	Palm Beach
1800	Jeff Webb	Vice Mayor of Cedar Key	Alachua
1803	Brenda Ash	Mayor of Apalachicola	Franklin
1804	Despina George	City Commissioner, Apalachicola	Franklin
1805	Adriane Elliott	City Commissioner, Apalachicola	Franklin
1807	Donna Duncan	City Commissioner, Apalachicola	Franklin
1808	James P. Kersey	Mayor of Bristol	Liberty
1810	Rodney Braden	City Council Member, Destin	Okaloosa
1812	Jim Bagby	City Council Member, Destin	Okaloosa
1814	Sandy Trammell	City Council Member, Destin	Okaloosa
1816	Laurence Vorisek	Mayor of Yankeetown	Alachua
1822	George Gay	Mayor of Alford	Jackson
1827	Fletcher J. Hope	Mayor of Archer	Alachua
1829	Keller Lanahan	Vice Mayor of Atlantis	Palm Beach
1832	Billy James	Mayor of Bascom	Jackson
1833	Todd Watzel	Mayor of Bay Lake	Orange
1834	Sandra Moore	Mayor of Bell	Gilchrist
1836	Steve Blume	Mayor of Belleair Shore	Pinellas
1838	Stephen Emmett	Mayor of Beverly Beach	Flagler
1842	John Chappie	Mayor of Bradenton Beach	Manatee
1844	Ken Saunders	Mayor of Branford	Suwannee
1845	Ted Gross	Mayor of Briny Breezes	Palm Beach
1846	Bruce A. Greenlee	Mayor of Bronson	Alachua
1849	Randy Knagge	Mayor of Callahan	Nassau
1850	Douglas Cotton	Mayor of Campbellton	Jackson
1854	Tom Shoriak	City Council Member, Cape Canaveral	Brevard
1855	Don Willis	City Council Member, Cape Canaveral	Brevard
1859	Christopher Moultry	Mayor of Chattahoochee	Gadsden
1868	Josh Cramer	City Council Member, Bradenton	Manatee
1869	Marianne Barnebey	City Council Member, Bradenton	Manatee
1870	Lisa Gonzalez Moore	City Council Member, Bradenton	Manatee
1871	Pam Coachman	City Council Member, Bradenton	Manatee
1872	Mike Gibson	Mayor of Bonita Springs	Lee
1875	David Griggs	City Commissioner, Callaway	Bay
1876	Kenneth L. Ayers	City Commissioner, Callaway	Bay
1879	Mark Busch	City Commissioner, Casselberry	Seminole
1880	Thomas E. Kirk	City Commissioner, Casselberry	Seminole
1881	Anthony Aramendia	Vice Mayor of Casselberry	Seminole
1892	Lavander Hearn	City Council Member, Cocoa	Brevard
1893	Patricia Weeks	City Council Member, Cocoa	Brevard
1895	Keith Capizzi	Mayor of Cocoa Beach	Brevard
1897	Tim Tumulty	City Commissioner, Cocoa Beach	Brevard
1898	Jeremy Hutcherson	City Commissioner, Cocoa Beach	Brevard
1900	Calvary Chapel Merritt Island	City Commissioner, Cocoa Beach	Brevard
1903	Who Is My	City Commissioner, Coconut Creek	Broward
1912	Steve Miller	Mayor of Coleman	Sumter
1915	Nancy Metayer	Vice Mayor of Coral Springs	Broward
1948	Bob Campbell	Mayor of DeFuniak Springs	Walton
1957	Chris Cloudman	Mayor of DeLand	Volusia
1959	Kevin Reid	City Commissioner, DeLand	Volusia
1960	Daniel Reed	City Commissioner, DeLand	Volusia
1974	Rafael Pineyro Councilman Maureen	City Council Member, Doral	Miami-Dade
1975	Nicole Reinoso Councilwoman Doral	City Council Member, Doral	Miami-Dade
1977	Councilwoman Rafael Pineyro	City Council Member, Doral	Miami-Dade
1978	Maureen Porras	City Council Member, Doral	Miami-Dade
1979	Nicole Reinoso	City Council Member, Doral	Miami-Dade
1994	Freaney Maureen	Mayor of Dunedin	Pinellas
2003	David Evans	Mayor of Ebro	Washington
2037	Candace Kelly	City Commissioner, Atlantic Beach	Duval
2038	Thomas Grant	City Commissioner, Atlantic Beach	Duval
2039	Bruce Bole	City Commissioner, Atlantic Beach	Duval
2040	Jessica Ring	City Commissioner, Atlantic Beach	Duval
2049	Daniel J Alfonso	City Council Member, Davie	Broward
2053	Marilyn Green	City Commissioner, Archer	Alachua
2054	Iris Bailey	Vice Mayor of Archer	Alachua
2055	Karen Fiore	City Commissioner, Archer	Alachua
2056	Kathy Penny	City Commissioner, Archer	Alachua
2058	Sam Newbern	Mayor of Auburndale	Polk
2059	Ed Crackel	City Commissioner, Auburndale	Polk
2060	Ronnie Spears	City Commissioner, Auburndale	Polk
2068	Mike Wilkinson	Mayor of Belleair	Pinellas
2069	Todd Jennings	City Commissioner, Belleair	Pinellas
2070	Patricia Barris	City Commissioner, Belleair	Pinellas
2071	Thomas Kelly	City Commissioner, Belleair	Pinellas
2072	Todd Jennings March	City Commissioner, Belleair	Pinellas
2074	Thomas Kelly March	City Commissioner, Belleair	Pinellas
2075	Tom Shelly	City Commissioner, Belleair	Pinellas
2076	Christine Dobkowski	Mayor of Belleview	Marion
2078	Ray Dwyer	City Commissioner, Belleview	Marion
2079	Ronald T. Livsey	City Commissioner, Belleview	Marion
2080	James Howard	City Commissioner, Beverly Beach	Flagler
2083	Jeffrey Borges	City Commissioner, Beverly Beach	Flagler
2088	Kelly Perry	City Council Member, Bronson	Alachua
2090	Christy O'Brien	City Council Member, Bronson	Alachua
2091	Kayla Greenway	City Council Member, Bronson	Alachua
2099	Mali Gardner	City Commissioner, Clewiston	Hendry
2101	Jason Williams	City Commissioner, Clewiston	Hendry
2116	Omarr C. Nickerson	Mayor of El Portal	Miami-Dade
2120	Charles Winters	City Council Member, El Portal	Miami-Dade
2121	Krystal Bien	City Council Member, Esto	Holmes
2122	Maxie Yates	City Council Member, Esto	Holmes
2123	Poynter Tuesday	City Commissioner, Fernandina Beach	Nassau
2133	John R. King	City Council Member, Fort Myers Beach	Lee
2136	Linda Hudson	Mayor of Fort Pierce	St. Lucie
2145	George Jacob Thomas	Mayor of Fort White	Columbia
2150	Alice McLane	Mayor of Glen Ridge	Palm Beach
2151	Juanice Padgett	Mayor of Glen St. Mary	Baker
2152	Glenn Singer	Mayor of Golden Beach	Miami-Dade
2153	Jessie Mendal	Vice Mayor of Golden Beach	Miami-Dade
2156	Kenneth Bernstein	City Council Member, Golden Beach	Miami-Dade
2157	Peter B. Hamilton	Mayor of Golf	Palm Beach
2160	Curtis Pinkard	City Commissioner, Graceville	Jackson
2161	Marshall Davis	City Commissioner, Graceville	Jackson
2162	John McClendon	City Commissioner, Graceville	Jackson
2163	Chris Harrell	Mayor of Grand Ridge	Jackson
2168	Lamar Alday	Mayor of Greensboro	Gadsden
2169	Ryan Kornegay	Mayor of Greenville	Jefferson
2170	Phyllis Bowman	Mayor of Greenwood	Jackson
2171	Anthony J. Baker	Mayor of Gretna	Gadsden
2173	Barbara Gaines	City Council Member, Groveland	Lake
2174	Michael C. Jaycox	City Council Member, Groveland	Lake
2176	Cherry Fitch	Mayor of Gulf Breeze	Santa Rosa
2177	Brittany Simpson	City Council Member, Gulf Breeze	Santa Rosa
2178	Tim Burr	City Council Member, Gulf Breeze	Santa Rosa
2179	Amy Tavai	City Council Member, Gulf Breeze	Santa Rosa
2181	Scott W. Morgan	Mayor of Gulf Stream	Palm Beach
2194	Jay Beckby	Mayor of Hastings	Putnam
2197	Jacquelyn Randall	Mayor of Hawthorne	Alachua
2209	Brandon McWhorter	City Commissioner, Highland Park	Polk
2210	Amanda Updike	City Commissioner, Highland Park	Polk
2211	Derek Camann	City Commissioner, Highland Park	Polk
2212	Sam Knight	City Commissioner, Hillcrest Heights	Polk
2219	Heather Berman	City Commissioner, Hillsboro Beach	Broward
2226	Clemente Canabal	City Council Member, Homestead	Miami-Dade
2230	Arthur Kight	City Council Member, Horseshoe Beach	Dixie
2233	Jerry Dixon	City Council Member, Horseshoe Beach	Dixie
2235	Otis Burl Philmon	City Council Member, Horseshoe Beach	Dixie
2236	Johnny Osteen	City Council Member, Horseshoe Beach	Dixie
2237	Cecil Wilder	City Council Member, Horseshoe Beach	Dixie
2239	Sam Downing	City Council Member, Horseshoe Beach	Dixie
2240	George Osteen	City Council Member, Horseshoe Beach	Dixie
2241	Jo Ann White	City Council Member, Horseshoe Beach	Dixie
2242	John Sheffield	City Council Member, Horseshoe Beach	Dixie
2243	John Cherry	City Council Member, Horseshoe Beach	Dixie
2244	Danny Kight	City Council Member, Horseshoe Beach	Dixie
2245	Johnny Squires	City Council Member, Horseshoe Beach	Dixie
2246	Debbie Corbin	City Council Member, Horseshoe Beach	Dixie
2247	Katherine Hutchinson	City Council Member, Horseshoe Beach	Dixie
2248	Roxie Revels	City Council Member, Horseshoe Beach	Dixie
2249	Tina Brotherton	City Council Member, Horseshoe Beach	Dixie
2251	Terri Taylor	City Council Member, Horseshoe Beach	Dixie
2253	Jim Livingston	City Council Member, Horseshoe Beach	Dixie
2254	Talmadge Bennett	City Council Member, Horseshoe Beach	Dixie
2255	Mike Puerner	City Council Member, Horseshoe Beach	Dixie
2256	Frances Cherry	City Council Member, Horseshoe Beach	Dixie
2259	Mike Ewing	City Council Member, Horseshoe Beach	Dixie
2261	Bob Webb	City Council Member, Horseshoe Beach	Dixie
2264	Roads Johnny Squires	City Council Member, Horseshoe Beach	Dixie
2265	Police Danny Kight	City Council Member, Horseshoe Beach	Dixie
2267	Rec Johnny Squires	City Council Member, Horseshoe Beach	Dixie
2268	Maintenance Debbie Corbin	City Council Member, Horseshoe Beach	Dixie
2269	Fire Katherine Hutchinson	City Council Member, Horseshoe Beach	Dixie
2271	Maintenance Tina Brotherton	City Council Member, Horseshoe Beach	Dixie
